erro_previsao,reclamacoes,previsao,lucro,prejuizo
0.14439999999999475,sem_reclamacao,-0.14439999999999475,,-0.14439999999999475
0.11889999999999823,sem_reclamacao,0.11889999999999823,0.11889999999999823,
0.0649999999999924,sem_reclamacao,0.0649999999999924,0.0649999999999924,
0.30349999999999966,sem_reclamacao,0.30349999999999966,0.30349999999999966,
0.12629999999999697,sem_reclamacao,-0.12629999999999697,,-0.12629999999999697
14.744,com_reclamacao,-14.744,,-14.744
0.012900000000009015,sem_reclamacao,0.012900000000009015,0.012900000000009015,
0.2556000000000038,sem_reclamacao,-0.2556000000000038,,-0.2556000000000038
2.1276999999999973,com_reclamacao,-2.1276999999999973,,-2.1276999999999973
0.16400000000001214,sem_reclamacao,0.16400000000001214,0.16400000000001214,
0.3786000000000036,sem_reclamacao,0.3786000000000036,0.3786000000000036,
0.6722999999999999,com_reclamacao,0.6722999999999999,0.6722999999999999,
0.06689999999999996,sem_reclamacao,0.06689999999999996,0.06689999999999996,
0.4720999999999922,sem_reclamacao,-0.4720999999999922,,-0.4720999999999922
0.2553999999999954,sem_reclamacao,-0.2553999999999954,,-0.2553999999999954
0.5005999999999942,com_reclamacao,0.5005999999999942,0.5005999999999942,
0.004599999999994164,sem_reclamacao,0.004599999999994164,0.004599999999994164,
4.745399999999989,com_reclamacao,-4.745399999999989,,-4.745399999999989
0.018400000000002414,sem_reclamacao,-0.018400000000002414,,-0.018400000000002414
0.7527999999999881,com_reclamacao,-0.7527999999999881,,-0.7527999999999881
0.07950000000000035,sem_reclamacao,-0.07950000000000035,,-0.07950000000000035
0.17599999999999838,sem_reclamacao,0.17599999999999838,0.17599999999999838,
0.5197000000000038,com_reclamacao,-0.5197000000000038,,-0.5197000000000038
0.021900000000001807,sem_reclamacao,0.021900000000001807,0.021900000000001807,
1.3585000000000065,com_reclamacao,-1.3585000000000065,,-1.3585000000000065
0.5769000000000002,com_reclamacao,-0.5769000000000002,,-0.5769000000000002
0.01650000000000862,sem_reclamacao,0.01650000000000862,0.01650000000000862,
1.1625999999999994,com_reclamacao,1.1625999999999994,1.1625999999999994,
1.1424000000000003,com_reclamacao,-1.1424000000000003,,-1.1424000000000003
0.036899999999994826,sem_reclamacao,0.036899999999994826,0.036899999999994826,
0.03589999999999893,sem_reclamacao,-0.03589999999999893,,-0.03589999999999893
0.6840999999999982,com_reclamacao,-0.6840999999999982,,-0.6840999999999982
0.5684000000000005,com_reclamacao,0.5684000000000005,0.5684000000000005,
0.13680000000000092,sem_reclamacao,-0.13680000000000092,,-0.13680000000000092
4.567,com_reclamacao,4.567,4.567,
0.05210000000000026,sem_reclamacao,0.05210000000000026,0.05210000000000026,
0.0772999999999966,sem_reclamacao,-0.0772999999999966,,-0.0772999999999966
0.6694999999999975,com_reclamacao,0.6694999999999975,0.6694999999999975,
0.04989999999999739,sem_reclamacao,0.04989999999999739,0.04989999999999739,
0.5457000000000001,com_reclamacao,0.5457000000000001,0.5457000000000001,
0.05730000000000324,sem_reclamacao,-0.05730000000000324,,-0.05730000000000324
0.5760999999999914,com_reclamacao,0.5760999999999914,0.5760999999999914,
0.08260000000000023,sem_reclamacao,-0.08260000000000023,,-0.08260000000000023
0.13299999999999845,sem_reclamacao,0.13299999999999845,0.13299999999999845,
0.0658999999999983,sem_reclamacao,-0.0658999999999983,,-0.0658999999999983
0.12610000000000632,sem_reclamacao,0.12610000000000632,0.12610000000000632,
0.3651,sem_reclamacao,0.3651,0.3651,
0.0023999999999997357,sem_reclamacao,-0.0023999999999997357,,-0.0023999999999997357
0.2835000000000001,sem_reclamacao,0.2835000000000001,0.2835000000000001,
0.10430000000000073,sem_reclamacao,0.10430000000000073,0.10430000000000073,
0.12639999999999585,sem_reclamacao,0.12639999999999585,0.12639999999999585,
2.9635000000000034,com_reclamacao,2.9635000000000034,2.9635000000000034,
0.2706999999999997,sem_reclamacao,-0.2706999999999997,,-0.2706999999999997
0.0801999999999996,sem_reclamacao,-0.0801999999999996,,-0.0801999999999996
0.31510000000000105,sem_reclamacao,0.31510000000000105,0.31510000000000105,
0.3399999999999963,sem_reclamacao,0.3399999999999963,0.3399999999999963,
0.15859999999999985,sem_reclamacao,-0.15859999999999985,,-0.15859999999999985
0.05149999999999544,sem_reclamacao,0.05149999999999544,0.05149999999999544,
0.17910000000000004,sem_reclamacao,0.17910000000000004,0.17910000000000004,
0.20389999999999775,sem_reclamacao,0.20389999999999775,0.20389999999999775,
0.019200000000001438,sem_reclamacao,0.019200000000001438,0.019200000000001438,
0.3110999999999988,sem_reclamacao,0.3110999999999988,0.3110999999999988,
0.02060000000000084,sem_reclamacao,0.02060000000000084,0.02060000000000084,
0.04200000000000603,sem_reclamacao,-0.04200000000000603,,-0.04200000000000603
